instance_id,benchmark,language,file_count_bucket,harness,cond,arm,seed,model,status_taxonomy,legit,resolved,f2p_pass,f2p_total,p2p_pass,p2p_total,cost_usd,total_cost_usd,turns,tokens_total,patch_bytes,modified_files,wall_clock_secs,n_surfaced,first_gold_rank,acc@1,acc@3,acc@5,acc@10,recall@1,recall@3,recall@5,recall@10,n_gold,edit_precision,edit_recall,loc_metric
apache__rocketmq-7745,polybench,java,1,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,0,0,0.7360292500000001,0.736029,25,10347,2566,2,596.78,37,25,0,0,0,0,0.0,0.0,0.0,0.0,1,0.5,1.0,agent_targeted_v3
huggingface__transformers-25884,polybench,python,1,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,3,3,0.3799435,0.379943,14,3152,586,1,98.57,22,6,0,0,0,1,0.0,0.0,0.0,1.0,1,1.0,1.0,agent_targeted_v3
huggingface__transformers-25884,polybench,python,1,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,3,3,0.19526425,0.195264,10,2656,641,1,75.5,11,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,agent_targeted_v3
huggingface__transformers-25884,polybench,python,1,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,3,3,0.307462,0.307462,14,4249,641,1,151.8,22,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,agent_targeted_v3
instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,pro,python,3+,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,unresolved,1,0,0,6,0,0,1.8433097500000002,1.84331,41,16040,9595,6,247.2,54,14,0,0,0,0,0.0,0.0,0.0,0.0,4,0.5,0.75,agent_targeted_v3
instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,pro,python,3+,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,unresolved,1,0,0,6,0,0,1.78024575,1.780246,46,15141,5481,4,465.52,63,14,0,0,0,0,0.0,0.0,0.0,0.0,4,0.5,0.5,agent_targeted_v3
instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,pro,python,3+,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,git_history_leak,0,0,0,6,0,0,0.7669215,0.766922,21,5682,0,0,122.41,28,2,0,1,1,1,0.0,0.5,0.5,1.0,4,,0.0,agent_targeted_v3
instance_future-architect__vuls-8659668177f1feb65963db7a967347a79c5f9c40,pro,go,3+,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,resolved,1,1,15,15,0,0,1.2943417500000003,1.294342,24,9221,9229,3,195.21,18,1,1,1,1,1,0.25,0.5,0.5,0.5,4,0.6667,0.5,agent_targeted_v3
instance_future-architect__vuls-8659668177f1feb65963db7a967347a79c5f9c40,pro,go,3+,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,resolved,1,1,15,15,0,0,0.8582652499999999,0.858265,29,10787,10612,4,210.25,12,1,1,1,1,1,0.25,0.5,0.5,0.5,4,0.5,0.5,agent_targeted_v3
instance_future-architect__vuls-8659668177f1feb65963db7a967347a79c5f9c40,pro,go,3+,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,resolved,1,1,15,15,0,0,1.11564975,1.11565,31,17178,10373,3,441.36,9,1,1,1,1,1,0.25,0.5,0.5,0.5,4,0.6667,0.5,agent_targeted_v3
